NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
627,HVDC-ADOPT-SCT-0098,E08,HVDC-ADOPT-SCT-0098,2025-05-17,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 4th,,O,O,O,FOB,USD,84976.24,800.0,943.54,86719.78,KOREA,Busan Port,Khalifa port,SEL00000133,HMM SAPPHIRE,Deugro,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,5035.0,14.0,14.0,,2025-05-17,2025-05-17,2025-06-21,2025-06-21,2025-11-30,2025-06-23,2025-06-24,2025-06-24,47150.0,15924.0,16720.0,,2025-07-07,2025-07-26,2025-08-30,,,,,,,2025-07-08,,,,,2,Port → WH → Site
628,HVDC-ADOPT-SCT-0097-1,E08,HVDC-ADOPT-SCT-0097-1,2025-05-17,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,26400.0,1600.0,308.0,28308.0,KOREA,Busan Port,Khalifa port,SEL00000135,HMM SAPPHIRE,Deugro,C,13,,,1.0,,,,,,,,,,,,,,1.0,,,,12764.0,30.48,30.48,,2025-05-17,2025-05-17,2025-06-21,2025-06-21,2025-11-30,2025-06-23,2025-06-24,2025-06-24,47150.0,5199.0,5458.0,2025-07-07,2025-12-25,,,,,,,,,2025-07-11,,,2025-07-18,,3,Port → WH → MOSB → Site
629,HVDC-ADOPT-SCT-0086,E08,HVDC-ADOPT-SCT-0086,2025-05-17,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,782265.5,8000.0,8692.92,798958.42,KOREA,Busan Port,Khalifa port,SEL00000134,HMM SAPPHIRE,Deugro,C,83,2.0,,4.0,,,,,,,,,,,,,,6.0,,,,29639.0,179.05,179.05,,2025-05-17,2025-05-17,2025-06-21,2025-06-21,2025-11-30,2025-06-23,2025-06-25,2025-06-25,47150.0,146711.0,154044.0,2025-11-11,2025-11-13,,,,2025-07-01,,,,,,,,2025-07-10,,3,Port → WH → MOSB → Site
630,HVDC-ADOPT-ZEN-0017,,HVDC-ADOPT-ZEN-0017,2025-04-22,49922,SPP PUMPS,,,Fire Pump Set,,,,,CIF,USD,,,,600000.0,United Kingdom,LONDON GATEWAY,Khalifa port,252739693,NORFOLK EXPRESS,,C,8,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,14943.0,59.33,59.33,,2025-05-10,2025-05-10,2025-06-20,2025-06-20,2025-11-30,2025-06-23,2025-06-24,2025-06-24,47150.0,111277.0,116841.0,,,,,,,,,,,,,2025-06-26,,,2,Port → WH → Site
638,HVDC-ADOPT-SCT-0105,E08,HVDC-ADOPT-SCT-0105,2025-05-21,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,,,,O,FOB,USD,10625.18,800.0,125.68,11550.86,CHINA,Shanghai,Khalifa port,SEL00000238,Cosco Shipping,deugro,C,1,1.0,,,,,,,,,,,,,,,,1.0,,,,643.0,0.91,0.91,,2025-06-01,2025-06-01,2025-06-26,2025-06-26,2025-11-30,2025-06-25,2025-06-26,2025-06-26,47150.0,2122.0,2227.0,,,,2025-08-07,,,,,,,2025-07-11,,,,,2,Port → WH → Site
644,HVDC-ADOPT-SCT-0096,I01,HVDC-ADOPT-SCT-0096,2025-05-10,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (3rd),O,O,O,O,FOB,USD,142650.0,1600.0,1586.75,145836.75,KOREA,Busan Port,Khalifa port,SEL00000094,HMM MIR,Deugro,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,1400.0,12.94,12.94,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-30,2025-06-30,47150.0,21347.0,36386.0,2025-07-16,2025-07-16,2025-07-26,2025-08-26,,,,,,,2025-07-16,,,,,2,Port → WH → Site
645,HVDC-ADOPT-SCT-0095,E08,HVDC-ADOPT-SCT-0095,2025-05-10,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 3rd,O,,,,FOB,USD,9410.26,1600.0,121.11,11131.37,KOREA,Busan Port,Khalifa port,SEL00000093,HMM MIR,Deugro,C,1,,,,,,,,,,,,,,,,,0.0,,,,640.0,2.25,2.25,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-30,2025-06-30,47150.0,,,2025-07-16,,,,,,,,,,,,,,,1,Port → Site
646,HVDC-ADOPT-SCT-0094,E08,HVDC-ADOPT-SCT-0094,2025-05-10,5001005974,ILSUNG ACE,Elec,Cable Termimation Kit,Cable Termination Kit (3rd),O,O,O,O,FOB,USD,27387.3,1600.0,318.86,29306.16,KOREA,Busan Port,Khalifa port,SEL00000092,HMM MIR,Deugro,C,8,,,,,,,,,,,,,,,,,0.0,,,,994.0,4.81,4.81,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-30,2025-06-30,47150.0,,,2025-07-16,2025-07-16,2025-07-26,2025-08-23,,,,,,,2025-07-16,,,,,2,Port → WH → Site
655,HVDC-ADOPT-SCT-0101,E08,HVDC-ADOPT-SCT-0101,2025-06-02,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control CableE (10th)",O,O,O,,FOB,USD,506707.5,8800.0,5670.58,521178.08,KOREA,Busan Port,Khalifa port,SEL00000273,HMM HANBADA,Deugro,C,81,1.0,,5.0,,,,,,,,,,,,,,6.0,,,,94053.0,125.29,125.29,,2025-06-01,2025-06-01,2025-07-10,2025-07-10,2025-12-17,2025-07-09,2025-07-10,2025-07-10,47150.0,95702.0,100486.0,2025-07-23,2025-07-24,2025-07-27,,,,,,,,2025-07-22,,,,,2,Port → WH → Site
656,HVDC-ADOPT-SCT-0102,E08,HVDC-ADOPT-SCT-0102,2025-06-02,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (17th),,,,O,FOB,USD,60459.09,5600.0,726.65,66785.74,KOREA,Busan Port,Khalifa port,SEL00000278,HMM HANBADA,Deugro,C,25,1.0,,3.0,,,,,,,,,,,,,,4.0,,,,30494.0,106.46,106.46,,2025-06-01,2025-06-01,2025-07-10,2025-07-10,2025-12-17,2025-07-09,2025-07-10,2025-07-10,47150.0,12264.0,12877.0,2028-08-11,,,2025-07-31,,,,,,,2025-07-22,,,,,2,Port → WH → Site
657,HVDC-ADOPT-SCT-0073,E08,HVDC-ADOPT-SCT-0073,2025-06-02,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (9th)",O,O,O,O,FOB,USD,120870.0,1600.0,1347.17,123817.17,KOREA,Busan Port,Khalifa port,SEL00000270,HMM HANBADA,Deugro,C,12,,,1.0,,,,,,,,,,,,,,1.0,,,,11681.0,19.81,19.81,,2025-06-01,2025-06-01,2025-07-10,2025-07-10,2025-12-17,2025-07-09,2025-07-10,2025-07-10,47150.0,,22736.0,2025-07-24,2025-07-24,2025-07-27,,,,,,,,2025-07-22,,,,,2,Port → WH → Site
658,HVDC-ADOPT-SCT-0097-2,E08,HVDC-ADOPT-SCT-0097-2,2025-06-01,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,26400.0,800.0,299.2,27499.2,KOREA,Busan Port,Khalifa port,SEL00000225,HMM HANBADA,Deugro,C,5,1.0,,,,,,,,,,,,,,,,1.0,,,,3226.0,6.91,6.91,,2025-06-01,2025-06-01,2025-07-10,2025-07-10,2025-12-17,2025-07-09,2025-07-10,2025-07-10,47150.0,5050.0,5302.0,2025-07-28,2025-07-28,,,,,,,,,,,,,,1,Port → Site
660,HVDC-ADOPT-SIM-0079-A,E04-1,HVDC-ADOPT-SIM-0079-A,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_GHDC,,,,O,CIF,EUR,,,,64610.0,BELGIUM,Antwerp,Khalifa port,BSLA39171,MSC FLAVIA,,C,3,,,,,,,,,,,,,,,,1.0,0.0,,,,1585.0,9.22,9.22,,2025-05-03,2025-05-03,2025-07-06,2025-07-06,2025-11-30,2025-07-08,2025-07-14,2025-07-14,47150.0,,27729.0,,,,,2025-07-17,,,,,,2025-07-17,,,,,3,Port → WH → MOSB → Site
661,HVDC-ADOPT-SIM-0079-B,E04-1,HVDC-ADOPT-SIM-0079-B,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_DSDC,,O,,,CIF,EUR,,,,64610.0,BELGIUM,Antwerp,Khalifa port,BSLA39171,MSC FLAVIA,,C,3,,,,,,,,,,,,,,,,,0.0,,,,1530.0,9.22,9.22,,2025-05-03,2025-05-03,2025-07-06,2025-07-06,2025-11-30,2025-07-08,2025-07-14,2025-07-14,47150.0,,,,,2025-07-23,,,,,,,,2025-07-17,,,,,2,Port → WH → Site
666,HVDC-ADOPT-SCT-0110,E08,HVDC-ADOPT-SCT-0110,2025-05-29,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable & Accessories,O,,O,,FOB,USD,4945215.66,90520.58,55393.1,5091129.33,KOREA,Masan,Khalifa port,SEL00000206,OCEAN SUCCESS,Deugro,B,72,,,,,,,,,,,,,,,,,0.0,,,,561902.0,1206.94,1206.94,,2025-05-29,2025-05-29,2025-07-06,2025-07-06,2025-11-30,2025-07-04,2025-07-07,2025-07-07,47150.0,934861.0,981602.0,2025-07-22,2025-07-25,,,,,,,,,,,,2025-07-22,,2,Port → WH → Site
673,HVDC-ADOPT-SCT-0109,E08,HVDC-ADOPT-SCT-0109,2025-06-11,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,195050.0,2400.0,2171.95,199621.95,CHINA,"Shekou, Shenzhen",Khalifa port,SEL00000315,CMA CGM MUSCA,Deugro,C,19,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,10050.0,55.29,55.29,,2025-06-11,2025-06-11,2025-07-16,2025-07-16,2025-11-30,2025-07-17,2025-07-21,2025-07-21,47150.0,36656.0,38488.0,2025-07-25,2025-07-25,2025-07-31,2025-08-04,,,,,,,2025-07-24,,,,,2,Port → WH → Site
674,HVDC-ADOPT-SCT-0106,E08,HVDC-ADOPT-SCT-0106,2025-06-13,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,97500.0,1600.0,1090.1,100190.1,Spain,Barcelona,Khalifa port,SEL00000235,MSC Washington,Deugro,C,24,,,1.0,,,,,,,,,,,,,,1.0,,,,3372.5,31.55,31.55,,2025-06-13,2025-06-13,2025-07-21,2025-07-21,2025-11-30,2025-07-21,2025-07-22,2025-07-22,47150.0,18398.0,19317.0,2025-08-04,2025-08-01,2025-08-08,2025-08-03,,,,,,,2025-07-30,,,,,2,Port → WH → Site
677,HVDC-ADOPT-SIM-0088,E04-1,EXP2025000000017,2025-07-16,SCT-19LT-PRC-PO-004,EMEK,Elec,400kV and 132kV New Converter GIS,400kv / 132kv Capacitive Voltage Transformers,O,O,O,O,CIF,USD,,,,299080.0,Turkey,Istanbul,Abu Dhabi Airport,71611827502,MB-503,,A,28,,,,,,,,,,,,,,,,,0.0,,,,16388.0,16.02,16.39,,2025-07-16,2025-07-16,2025-07-22,2025-07-22,2025-11-30,2025-07-24,2025-07-24,2025-07-24,47150.0,54920.0,57665.0,2025-08-12,2025-08-12,2025-08-17,2025-08-30,,,,,,,2025-08-12,,,,,2,Port → WH → Site
682,HVDC-ADOPT-PPL-0019,E02,HVDC-ADOPT-PPL-0019,2025-06-30,5000675246,Prysmian,Elec,320kV HVDC Cable System,MINISUB FOC Subsea Fibre Optic Cable (up to 96 fibres) FO Accessories,,,,,CIF,EUR,59179.7,260.0,118.36,59558.06,GERMANY,Bremen,Abu Dhabi Airport,607-39821165,EY7114,,A,1,,,,,,,,,,,,,,,,,0.0,,,,65.0,0.23,0.23,,2025-07-27,2025-07-27,2025-07-27,2025-07-27,2025-11-30,2025-07-30,2025-07-30,2025-07-30,47150.0,12622.0,13252.0,,2025-11-24,,,,,,,2025-08-01,,,,,,,2,Port → WH → Site
683,HVDC-ADOPT-SCT-0113,E08,HVDC-ADOPT-SCT-0113,2025-06-20,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,18200.0,1600.0,217.8,20017.8,KOREA,Busan Port,Khalifa port,SEL00000385,HMM GARAM,Deugro,C,10,,,1.0,,,,,,,,,,,,,,1.0,,,,8862.0,22.26,22.26,,2025-06-21,2025-06-21,2025-07-28,2025-07-28,2025-12-17,2025-07-29,2025-07-31,2025-07-31,47150.0,3676.0,3860.0,2025-08-05,2025-08-07,,,,,,,,,,,,,,1,Port → Site
684,HVDC-ADOPT-SCT-0115,I01,HVDC-ADOPT-SCT-0115,2025-06-21,5000801061,SHIN AHN,Inst.,Field Instrument,Main System Equipment,O,O,O,O,FOB,USD,1632195.0,6400.0,18024.55,1656619.55,KOREA,Busan Port,Khalifa port,SEL00000408,HMM GARAM,Deugro,C,18,,,4.0,,,,,,,,,,,,,,4.0,,,,25080.0,173.04,173.04,,2025-06-21,2025-06-21,2025-07-28,2025-07-28,2025-11-30,2025-07-29,2025-07-30,2025-07-30,47150.0,78044.0,308099.0,2025-08-05,2025-08-05,2025-08-11,,2025-08-04,,,,,,2025-08-04,,,,,3,Port → WH → MOSB → Site
685,HVDC-ADOPT-SCT-0112,E08,HVDC-ADOPT-SCT-0112,2025-06-24,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,18200.0,800.0,209.0,19209.0,KOREA,Busan Port,Khalifa port,SEL00000426,HMM NURI,Deugro,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,2180.0,4.02,4.02,,2025-06-24,2025-06-24,2025-08-03,2025-08-03,2025-11-30,2025-08-04,2025-08-04,2025-08-04,47150.0,3528.0,3704.0,2025-08-07,2025-08-07,,,,,,,,,,,,,,1,Port → Site
690,HVDC-ADOPT-SCT-0117,E08,HVDC-ADOPT-SCT-0117,2025-06-30,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (5th),O,O,O,O,FOB,USD,30367.57,800.0,351.64,31519.21,KOREA,Busan Port,Khalifa port,SEL00000500,HMM GAON,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1950.0,5.3,5.3,,2025-06-30,2025-06-30,2025-08-06,2025-08-06,2025-11-30,2025-08-04,2025-08-04,2025-08-04,47150.0,14632.0,15362.0,2025-08-14,2025-08-14,2025-08-22,2025-08-26,,,,,,,2025-08-14,,,,,2,Port → WH → Site
691,HVDC-ADOPT-SCT-0118,E08,HVDC-ADOPT-SCT-0118,2025-06-30,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (8th),,,,O,FOB,USD,46840.0,800.0,524.04,48164.04,KOREA,Busan Port,Khalifa port,SEL00000501,HMM GAON,Deugro,C,1,,,,,,,,,,,,,,,,,0.0,,,,1310.0,3.09,3.09,,2025-06-30,2025-06-30,2025-08-06,2025-08-06,2025-11-30,2025-08-04,2025-08-04,2025-08-04,47150.0,,,,,2025-09-09,2025-08-23,,,,,,,2025-08-14,,,,,2,Port → WH → Site
692,HVDC-ADOPT-SCT-0107,E08,HVDC-ADOPT-SCT-0107,2025-06-30,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control CableE (11th)",,O,,O,FOB,USD,3393477.1,36000.0,37724.25,3467201.35,KOREA,Busan Port,Khalifa port,SEL00000467,HMM GAON,Deugro,C,255,13.0,,16.0,,,,,,,,,,,,,,29.0,,,,514557.0,607.83,607.83,,2025-06-30,2025-06-30,2025-08-06,2025-08-06,2025-11-30,2025-08-04,2025-08-05,2025-08-05,47150.0,629172.0,668124.0,2025-08-20,2025-10-24,2025-10-19,2025-09-06,,,,,,,2025-08-22,,,,,2,Port → WH → Site
693,HVDC-ADOPT-SCT-0114,E08,HVDC-ADOPT-SCT-0114,2025-06-30,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,251520.0,1600.0,2784.32,255904.32,KOREA,Busan Port,Khalifa port,SEL00000499,HMM GAON,Deugro,C,18,,,1.0,,,,,,,,,,,,,,1.0,,,,9140.0,47.84,47.84,,2025-06-30,2025-06-30,2025-08-06,2025-08-06,2025-11-30,2025-08-04,2025-08-05,2025-08-05,47150.0,46992.0,49340.0,2025-08-11,,,,2025-08-09,,,,,,,,,,,2,Port → WH → Site
717,HVDC-ADOPT-SCT-0125,E08,HVDC-ADOPT-SCT-0125,2025-07-08,5000801061,Arab Steel,Elec,Communication & Security System,Anchor Bolt with Template,O,,,,FOB,USD,458.0,615.0,61.5,1134.5,Egypt,Kairo,Abu Dhabi Airport,DGL4736,ES0190,,A,1,,,,,,,,,,,,,,,,,0.0,,,,205.0,0.25,0.25,,2025-07-21,2025-07-21,2025-07-22,2025-07-22,,2025-08-13,2025-08-13,2025-08-13,47150.0,209.0,219.0,2025-08-14,,,,,,,,,,,,,,,1,Port → Site
718,HVDC-ADOPT-SCT-0120,E08,HVDC-ADOPT-SCT-0120,2025-07-12,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,O,,FOB,USD,31750.0,4000.0,393.25,36143.25,KOREA,Busan Port,Khalifa port,SEL00000550,HMM DAON,Deugro,C,10,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,18708.0,39.85,39.85,,2025-07-12,2025-07-12,2025-08-14,2025-08-14,2025-11-30,2025-08-15,2025-08-15,2025-08-15,47150.0,6637.0,6969.0,2025-08-26,2025-08-26,,,,,,,,,,,,,,1,Port → Site
719,HVDC-ADOPT-SCT-0129,E08,HVDC-ADOPT-SCT-0129,2025-08-14,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (7th),O,O,O,O,FOB,USD,902.0,390.0,50.41,1342.41,KOREA,Incheon,Abu Dhabi Airport,SEL00000827,EY823,,A,1,,,,,,,,,,,,,,,,,0.0,,,,66.0,0.24,0.24,,2025-08-14,2025-08-14,2025-08-14,2025-08-14,,2025-08-15,2025-08-15,2025-08-15,47150.0,247.0,259.0,2025-08-19,2025-08-23,2025-08-22,2025-02-14,,,,,,,2025-08-16,,,,,2,Port → WH → Site
721,HVDC-ADOPT-SCT-0121,E08,HVDC-ADOPT-SCT-0121,2025-06-18,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,951005.42,1600.0,10478.66,963084.08,SWEDEN,Helsingborg,Khalifa port,SEL00000527,MSC KYUNGMIN,deugro,C,21,,,1.0,,,,,,,,,,,,,,1.0,,,,11750.0,17.81,17.81,,2025-07-19,2025-07-19,2025-08-16,2025-08-16,2025-11-30,2025-08-16,2025-08-18,2025-08-18,47150.0,176849.0,185689.0,2025-08-21,2025-08-21,2025-08-25,2025-08-25,,,,,,,2025-08-21,,,,,2,Port → WH → Site
722,HVDC-ADOPT-SIM-0094,E04-1,NR2512686,2025-07-28,SCT-19LT-PRC-PO-004,EUPEN,Elec,400kV and 132kV New Converter GIS,"Eupen Cables - MRDC, SHDC, GHDC and DSDC",,,O,O,CIF,EUR,,,,30331.94,BELGIUM,Brussels,Abu Dhabi Airport,H018447,EK9111T,,A,9,,,,,,,,,,,,,,,,,0.0,,,,3473.0,11.18,11.18,,2025-08-14,2025-08-14,2025-08-16,2025-08-16,2025-11-30,2025-08-19,2025-08-19,2025-08-19,47150.0,6503.0,6828.0,,2025-08-22,,2025-08-28,,,,,,,2025-08-23,,,,,2,Port → WH → Site
740,HVDC-ADOPT-SCT-0108,E08,HVDC-ADOPT-SCT-0108,2025-07-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (6th),O,O,O,O,FOB,USD,15258.88,800.0,176.65,16235.53,KOREA,Busan Port,Khalifa port,SEL00000562,HMM MIR,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,7350.0,15.69,15.69,,2025-07-17,2025-07-17,2025-08-27,2025-08-27,2025-12-17,2025-08-25,2025-08-26,2025-08-26,47150.0,2982.0,3130.0,2026-01-20,2026-01-20,2025-09-23,2025-10-23,,,,,,,2025-08-16,,,,,2,Port → WH → Site
748,HVDC-ADOPT-SCT-0126,E08,HVDC-ADOPT-SCT-0126,2025-08-09,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,128330.0,4000.0,1455.63,133785.63,CHINA,Shanghai,Khalifa port,SEL00000725,CMA CGM PEGASUS,,C,366,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,53125.7,155.0,155.0,,2025-08-09,2025-08-09,2025-08-29,2025-08-29,2025-09-01,2025-08-26,2025-08-28,2025-08-28,47150.0,24567.0,25795.0,2025-09-10,2025-09-16,2025-09-14,,,2025-08-31,,,,,2025-09-11,,,,,3,Port → WH → MOSB → Site
756,HVDC-ADOPT-SCT-0131,E08,HVDC-ADOPT-SCT-0131,2025-09-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (18th),O,O,,,FOB,USD,19022.15,8402.94,107.31,27532.4,KOREA,Incheon,Abu Dhabi Airport,ELA2509004,EK325,,A,4,,,,,,,,,,,,,,,,,0.0,,,,1815.0,12.76,12.76,,2025-09-05,2025-09-05,2025-09-07,2025-09-07,2025-09-11,2025-09-08,2025-09-08,2025-09-08,47150.0,5056.0,5308.0,2025-10-10,,2025-09-13,,,,,,,,2025-09-08,,,,,2,Port → WH → Site
760,HVDC-ADOPT-SCT-0122,E08,HVDC-ADOPT-SCT-0122,2025-08-05,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,50840.0,800.0,568.04,52208.04,Spain,Barcelona,Khalifa port,SEL00000505,MSC BUSAN,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,941.0,4.67,4.67,,2025-08-01,2025-08-01,2025-09-08,2025-09-08,2025-09-11,2025-09-08,2025-09-08,2025-09-08,47150.0,9587.0,10066.0,,2025-10-13,2025-09-23,,,,,,,,2025-09-16,,,,,2,Port → WH → Site
764,HVDC-ADOPT-SCT-0127,E08,HVDC-ADOPT-SCT-0127,2025-08-06,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,,,,O,FOB,USD,10352.21,800.0,122.67,11274.88,CHINA,Shanghai,Khalifa port,SEL00000781,CSCL INDIAN OCEAN,,C,1,1.0,,,,,,,,,,,,,,,,1.0,,,,659.0,1.13,1.13,,2025-08-26,2025-08-26,2025-09-11,2025-09-11,2025-09-16,2025-09-10,2025-09-11,2025-09-11,47150.0,2071.0,2174.0,,,,,,,,,,,2025-09-16,,,,,2,Port → WH → Site
781,HVDC-ADOPT-SCT-0123,E08,HVDC-ADOPT-SCT-0123,2025-08-09,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,,,O,,FOB,USD,17180.0,1600.0,206.58,18986.58,KOREA,Busan Port,Khalifa port,SEL00000771,HMM Hambada,Deugro,C,2,,,1.0,,,,,,,,,,,,,,1.0,,,,540.0,1.76,1.76,,2025-08-09,2025-08-09,2025-09-12,2025-09-12,2025-09-21,2025-09-12,2025-09-17,2025-09-17,47150.0,30459.0,80181.0,,2025-09-23,,,,,,,,,,,,,,1,Port → Site
782,HVDC-ADOPT-SCT-0124,E08,HVDC-ADOPT-SCT-0124,2025-08-09,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (4th),O,O,O,O,FOB,USD,403320.0,1600.0,4454.12,409374.12,KOREA,Busan Port,Khalifa port,SEL00000772,HMM Hambada,Deugro,C,4,,,,,,,,,,,,,,,,,0.0,,,,3685.0,28.98,28.98,,2025-08-09,2025-08-09,2025-09-12,2025-09-12,2025-09-21,2025-09-12,2025-09-17,2025-09-17,47150.0,,,2025-09-23,2025-09-23,2026-01-04,,,,,,,,2025-09-23,,,,,2,Port → WH → Site
789,HVDC-ADOPT-SCT-0134,E08,HVDC-ADOPT-SCT-0134,2025-09-24,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 5th,O,O,O,O,FOB,USD,37104.1,6904.2,88.02,44096.32,KOREA,Incheon,Abu Dhabi Airport,ELA2509028,EK325,,A,4,,,,,,,,,,,,,,,,,0.0,,,,2178.0,7.43,7.43,,2025-09-24,2025-09-24,2025-09-26,2025-09-26,2025-10-13,2025-09-26,2025-09-26,2025-09-26,47150.0,8098.0,8502.0,2025-09-29,,2025-10-06,,,,,,,,2025-09-29,,,,,2,Port → WH → Site
790,HVDC-ADOPT-PPL-0020,E02,HVDC-ADOPT-PPL-0020,2025-09-26,5000675246,Prysmian,Elec,320kV HVDC Cable System,REFURBISHMENT KIT FOR CIT4229621070 (Straight Joint - GMC),,,,,CIF,EUR,2912.0,568.0,17.5,3497.5,Italy,Malpensa,Abu Dhabi Airport,607-37987994,EY082,,A,4,,,,,,,,,,,,,,,,,0.0,,,,145.0,0.3,0.3,,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-10-14,2025-10-02,2025-10-02,2025-10-02,47150.0,756.0,793.0,,2025-10-06,,,,,,,,,,,,,,1,Port → Site
792,HVDC-ADOPT-SIM-0099,E04-1,HVDC-ADOPT-SIM-0099,2025-09-15,SCT-19LT-PRC-PO-004,EUPEN,Elec,400kV and 132kV New Converter GIS,"Eupen Cables - MRDC, GHDC and DSDC",,,O,O,CIF,EUR,,,,56506.33,BELGIUM,Brussels,Abu Dhabi Airport,H0357314,QY1003,,A,10,,,,,,,,,,,,,,,,,0.0,,,,4297.0,12.72,12.72,,2025-10-03,2025-10-03,2025-10-06,2025-10-06,2025-10-14,2025-10-06,2025-10-06,2025-10-06,47150.0,10910.0,11455.0,,2025-10-23,,,,2025-10-14,,,,,2025-11-04,,,,,3,Port → WH → MOSB → Site
793,HVDC-ADOPT-SCT-0137,E08,HVDC-ADOPT-SCT-0137,2025-10-02,5000761612,"BMT Co., Ltd",Elec,Juntion Box,Juntion Box,,O,O,,FOB,USD,6398.46,1430.6,12.8,7841.86,KOREA,Incheon,Abu Dhabi Airport,ELA2509040,EK323,,A,2,,,,,,,,,,,,,,,,,0.0,,,,303.0,3.28,3.28,,2025-10-02,2025-10-02,2025-10-04,2025-10-04,2025-10-14,2025-10-07,2025-10-07,2025-10-07,47150.0,1440.0,1512.0,,,2025-10-16,,,,,,,,2025-10-13,,,,,2,Port → WH → Site
